CA,Diesel,WCOB20,TB (CE),TBA1 (CE),TBA2 (CE),TBA3 (CE),,,,,,,,,,
0.851935802,0.66595077,0.674756872,0.66375771,0.653994708,0.651309177,0.642391683,,,,,,,,,,
0.853414906,0.673428698,0.682499489,0.671061293,0.661038012,0.658174833,0.648935437,,,,,,,,,,
0.854894009,0.68097086,0.690359375,0.678424819,0.668166786,0.665133038,0.655593094,,,,,,,,,,
0.856372863,0.688565549,0.698110605,0.685851595,0.675374601,0.672175682,0.662374405,,,,,,,,,,
0.857851966,0.696275267,0.705879166,0.693330095,0.682641573,0.67929641,0.669247127,,,,,,,,,,
0.859331069,0.703878404,0.713604452,0.700921864,0.689970966,0.68647558,0.67620325,,,,,,,,,,
0.860810173,0.711498542,0.721266017,0.708408684,0.697351403,0.693716418,0.683236499,,,,,,,,,,
0.862289276,0.71907623,0.728825775,0.715912243,0.704843626,0.701007683,0.690327472,,,,,,,,,,
0.86376813,0.726591416,0.736283727,0.723374002,0.712232274,0.708409383,0.697479355,,,,,,,,,,
0.865247233,0.734006741,0.743626069,0.730774216,0.719637443,0.71570876,0.704681046,,,,,,,,,,
0.866726336,0.741322203,0.750792402,0.738076095,0.72700136,0.723024458,0.711991814,,,,,,,,,,
0.868205439,0.748524264,0.757769028,0.74527964,0.734304538,0.730299402,0.719201517,,,,,,,,,,
0.869684543,0.75555368,0.764436912,0.752371519,0.741510671,0.737514342,0.726427341,,,,,,,,,,
0.871163397,0.762397013,0.770958054,0.759293394,0.74861976,0.744633409,0.733612912,,,,,,,,,,
0.8726425,0.768937503,0.777144509,0.766032033,0.755618647,0.751656604,0.740739214,,,,,,,,,,
0.874121603,0.775334054,0.783041214,0.772472462,0.762449759,0.758570929,0.747770822,,,,,,,,,,
0.875600706,0.781402312,0.788592854,0.778771153,0.769100037,0.765319505,0.754707736,,,,,,,,,,
0.87707981,0.787186357,0.793775251,0.784746575,0.775456016,0.771889433,0.761537118,,,,,,,,,,
0.878558913,0.79263193,0.798581657,0.790442131,0.781672116,0.778168618,0.768202787,,,,,,,,,,
0.880037767,0.797715313,0.80298426,0.795804394,0.787569185,0.784309613,0.774692002,,,,,,,,,,
0.88151687,0.802429889,0.806978079,0.800810008,0.793190058,0.790135433,0.780894046,,,,,,,,,,
0.882995973,0.806748378,0.810585426,0.805452457,0.798482008,0.795688393,0.786959598,,,,,,,,,,
0.884475077,0.810665892,0.813837435,0.809704879,0.803421986,0.800916405,0.792713847,,,,,,,,,,
0.88595418,0.814204318,0.816796061,0.81356246,0.808003561,0.805796696,0.798198588,,,,,,,,,,
0.887433034,0.817394195,0.819566745,0.817046753,0.812200223,0.810322916,0.803362372,,,,,,,,,,
0.888912137,0.820296295,0.822235517,0.820187829,0.816007221,0.814468872,0.808182709,,,,,,,,,,
0.89039124,0.823014043,0.825047608,0.823045531,0.819445827,0.818229874,0.812653323,,,,,,,,,,
0.891870344,0.825631827,0.828185668,0.8257217,0.822545715,0.821626933,0.816748346,,,,,,,,,,
0.893349447,0.828390191,0.831742994,0.828299435,0.825365945,0.824689368,0.820463143,,,,,,,,,,
0.894828301,0.831468296,0.835931709,0.8310156,0.828007024,0.827475524,0.823818469,,,,,,,,,,
0.896307404,0.834957657,0.840952003,0.834046614,0.830550958,0.830084692,0.826843281,,,,,,,,,,
0.897786507,0.839066344,0.846938373,0.837482592,0.833231507,0.83259789,0.829595208,,,,,,,,,,
0.899265611,0.843990722,0.853790776,0.841528422,0.836222777,0.835246052,0.832172322,,,,,,,,,,
0.900744714,0.849862718,0.861578225,0.846377463,0.839613701,0.838201181,0.834654646,,,,,,,,,,
0.902223568,0.856584201,0.870079982,0.852159625,0.84360648,0.841551135,0.837270275,,,,,,,,,,
0.903702671,0.864222865,0.87933206,0.858778278,0.848391938,0.845495672,0.840189099,,,,,,,,,,
0.905181774,0.872562191,0.88924666,0.866300081,0.854098281,0.850223311,0.843497898,,,,,,,,,,
0.906660878,0.881637501,0.899720213,0.874511826,0.860630147,0.855860709,0.847393976,,,,,,,,,,
0.908139981,0.891362677,0.910799314,0.883448295,0.86805332,0.862313655,0.852063535,,,,,,,,,,
0.909618835,0.901636125,0.922314908,0.893024688,0.876157388,0.86964714,0.857631677,,,,,,,,,,
0.911097938,0.912503553,0.933013557,0.903140966,0.884976679,0.877653293,0.864005348,,,,,,,,,,
0.912577041,0.923799134,0.945582401,0.913842136,0.894427501,0.886366026,0.871248739,,,,,,,,,,
0.914056145,0.934293377,0.956654653,0.924964909,0.904411129,0.895702662,0.879156535,,,,,,,,,,
0.915535248,0.946622085,0.966739969,0.935298604,0.91497198,0.905565665,0.887762231,,,,,,,,,,
0.917014102,0.957482794,0.975785112,0.947438699,0.925948906,0.915998917,0.896984165,,,,,,,,,,
0.918493205,0.967375424,0.983429346,0.958133253,0.9361471,0.926843217,0.906725999,,,,,,,,,,
0.919972308,0.976247753,0.989469265,0.967874538,0.948128008,0.936918195,0.917031077,,,,,,,,,,
0.921451412,0.983745939,0.996258571,0.976611132,0.95868233,0.948754346,0.927742153,,,,,,,,,,
0.922930515,0.989670462,0.998832417,0.983994606,0.968295882,0.959181148,0.937693358,,,,,,,,,,
0.924409618,0.996330053,1,0.989828491,0.976917918,0.968678548,0.949384101,,,,,,,,,,
0.925888472,0.998854725,0.996712914,0.996386199,0.984204575,0.97719641,0.959682808,,,,,,,,,,
0.927367575,1,0.991935981,0.998872246,0.989961964,0.984395028,0.96906353,,,,,,,,,,
0.928846679,0.996775716,0.98677102,1,0.996433684,0.990082855,0.977476749,,,,,,,,,,
0.930325782,0.992090049,0.981033096,0.996825043,0.998887132,0.996476382,0.984586931,,,,,,,,,,
0.931804885,0.987023768,0.974498152,0.992211062,1.000000099,0.998900187,0.990204881,,,,,,,,,,
0.933283739,0.981395471,0.967424908,0.987222288,0.996866774,0.999999707,0.996519863,,,,,,,,,,
0.934762842,0.974985382,0.95986515,0.981680097,0.992313293,0.996904239,0.998913892,,,,,,,,,,
0.936241945,0.968047277,0.951931062,0.975368074,0.987389934,0.992405775,0.999999903,,,,,,,,,,
0.937721049,0.960631953,0.943665712,0.968536113,0.981920415,0.987541901,0.996942464,,,,,,,,,,
0.939200152,0.952849451,0.935093281,0.961234234,0.975691159,0.982138466,0.992499264,,,,,,,,,,
0.940679006,0.944742017,0.926270744,0.953570794,0.968948782,0.975984473,0.987695144,,,,,,,,,,
0.942158109,0.936333368,0.917206714,0.945587393,0.961742649,0.969323559,0.982358091,,,,,,,,,,
0.943637212,0.927679391,0.907926927,0.937307385,0.954179696,0.962204492,0.976279701,,,,,,,,,,
